P01901859A0000|0 59|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P07655505A0527|167 182|phytochrome A gene
P01384229A0175|167 182|herpes TK promoter
P09490676A0800|170 185|Ets-binding sites
P06373855A0000|169 184|immunoperoxidase
P03263357A0112|170 181|interleukin 1
P08686381A0527|174 184|BCR 5' region
P07601445A0207|165 175|DEAD protein
P10704499A0682|170 180|an activator
P02833049A1041|167 176|RD-114 mRNA
P11003653A0198|169 178|PYR complex
P08455598A0000|166 174|a1-alpha 2
P08034680A0180|168 174|I kappa B
P09545353A1071|170 178|TNF-alpha
P08475104A0341|166 172|cyclin A
P07867622X0000|174 179|p21rac
P11209100A0069|173 178|IL-1ra
P11504709A0981|165 168|MAPK
P09736697A1107|169 172|Jak1
P08530384A0559|170 173|Oct1
P08626529A0799|171 174|p230
P08566754A0783|172 174|SF2
P10318806A0918|175 177|Ras
P11007954A0170|169 171|Ras
P10688660A0992|174 176|PRE
P09294422A1376|173 175|POR
P02196450A0870|169 171|QBP
P11278290A1220|168 170|Agc
P09040011A1316|173 175|Raf
P02403926A0000|169 207|N-terminal 41 amino acid activating sequence
P09435056A0128|163 200|secretory protein maltose-binding protein
P09765271A1108|171 194|tyrosine aminotransferase
P02832149A1009|164 177|myb transcripts
P08382359A0469|169 181|large T antigen
P03275867A0187|166 178|MAT alpha genes
P01387105A0933|171 183|loci Cycb1-rs1
P08076631A0000|169 179|osteocalcin
P10861086A0259|170 177|Fc gamma R
P10657658A0165|170 178|NF-kappa B
P07740487A0167|170 179|Fibrinogen
P08410097A0356|168 177|fibrinogen
P07838156A0789|169 176|ROR alpha
P09556573A1062|175 183|PPARalpha
P10440923A0684|168 174|cyclin E
P01652755A1492|171 175|c-fos
P02555703T0000|177 181|v-abl
P08195186A0000|174 177|CAT1
P10512699T0000|176 179|selB
P07799925A0526|169 171|SH3
P08972182A0527|172 174|ICE
P09535892A0000|169 171|Trp
P09192998A0356|163 165|PTH
P08432137A0000|171 171|P
P07835886A0894|173 202|corticosteroid-binding globulin
P01547775A1024|168 195|ORF2a/ORF2b transframe protein
P10453006A0000|170 194|beta subunits of proteasomes
P08707825A0063|172 192|monoclonal antibody R4A
P10602507A0652|166 185|dominant-negative p53
P06818113A0384|175 192|clotting factor VIII
P08940132A1120|171 187|ICE/Ced-3 protease
P01710768A1172|167 181|gamma interferon
P00594617A0192|171 184|fibrin monomers
P08813766A0605|164 173|yeast Mig1p
P02038326A0538|170 179|eIF-2 alpha
P10775585A0754|174 183|MAP) kinase
P03824908A0116|171 179|M proteins
P08838314A0129|172 177|AVPR1A
P01982997A1104|174 178|c-Fos
P07937106A0100|169 173|v-ets
P07525843A0859|169 172|H-2b
P01970560A1024|172 175|aroF
P08901135A1132|169 172|NIT2
P07629196A0274|171 174|SAPK
P10617126A1005|168 170|CA3
P11073919A0631|166 168|ODC
P11020375A0134|163 164|AF
P01849509T0000|175 202|Thiobacillus ferrooxidans IST2
P09927570A0507|163 186|E1B 19 kDa and 55 kDa proteins
P11368363A0129|169 193|HMG-Box containing protein 1
P03935797A0183|170 190|protein-coding regions
P11517190A0352|170 188|E-responsive element
P07375864A0431|171 184|low platelet MAO
P09451016A1037|175 188|endogenous gene
P06501086A0165|176 189|alpha-globulin
P08556707A1390|169 180|248trp allele
P01917962A0152|168 179|SV40 promoter
P08386318A1102|173 181|C/EBP beta
P01774063A0161|170 176|B2M loci
P09234713A0754|171 177|Jdelta1
P11046146A1202|173 179|NFI-DNA
P11357063A0138|174 179|LHbeta
P09694869A0932|168 172|Stat3
P11241166A0677|170 174|SOCS3
P09096229T0000|169 173|rad16
P09360422A0135|175 179|pAI-1
P02196565A0606|174 177|PYK1
P10652362A0933|173 176|CFTR
P08432137A0000|173 176|SLYS
P01660486A1756|173 175|PKC
P08598449A0784|170 172|btk
P06527872T0000|170 172|ACP
P09372924A0758|173 175|XPC
P11309389A0273|172 225|a membrane-associated GHR transmembrane/cytoplasmic domain
P08887652A0341|171 222|bacterial hygromycin B phosphotransferase structural gene
P10894149T0000|178 207|estrogen related receptor alpha-1
P11560992A0000|176 197|c-Jun N-terminal kinases
P10455183A0930|174 190|human U6 snRNA genes
P10544089A1208|177 191|U1)-MP-CP-3'UTR
P08522530A1342|168 177|sigma 54 box
P10933732A0000|172 181|IRF) family
P09006007A0997|172 180|SelB-mRNA
P08647086A0720|171 178|cyclin-E
P10464310A0218|175 180|FGFR-1
P10683244A0939|169 174|NBF1+R
P08396713A0305|175 178|ARNT
P10454570A0846|177 180|JunD
P08349104A0450|174 177|lacZ
P11404016A1922|173 176|NRPS
P09638650A0169|169 172|ORF2
P09040011A1316|177 180|MAPK
P08761480A0331|173 175|SH3
P11080796A1277|171 173|IKK
P10976413A0514|168 170|FSH
P11504709A0981|170 204|extracellular signal-regulated kinase
P07990136A1124|175 205|mammalian polIII ternary complexes
P08288633A0144|174 203|GTPase-activating protein region
P11416012T0000|177 204|phosphatidylinositol 3-kinase
P02185140A0000|177 203|yeast transcription promoters
P01909027A0922|169 192|hepatocyte nuclear factors
P09315631A1064|166 187|delta por1 single mutants
P11353774A0255|174 195|nuclear hormone receptor
P09115247A2069|179 197|peptide-binding site
P10080875A0772|175 191|NF-kappaB proteins
P08097732A0000|174 189|Spec1/Spec2 genes
P08111035A0098|173 187|oleosin promoter
P08276865A1188|176 186|LPA receptor
P09753774A2246|170 178|invertase
P10593939A0747|171 178|SR family
P09765411A0991|170 178|ubiquitin
P02500432A1416|168 174|CAT gene
P11139605A0811|177 182|C/EBPs
P10823837A1213|172 176|Gpi7p
P08223613A0519|169 172|TPS3
P11208814A0673|173 176|CKII
P10490639A0000|177 180|Pcls
P10717612A0000|177 180|IL-2
P09647240A0000|177 179|p53
P07563076A0766|173 175|ai4
P01394200A0592|173 173|T
P11059777A0813|180 180|L
P08719155A0105|174 211|thrombospondin-related anonymous protein
P07758459A1277|171 198|ABF1 consensus binding sequence
P09234717A0000|173 200|SH2 domain-containing proteins
P11274357A0724|170 196|nucleoside diphosphate kinase
P07743697A0703|173 200|angiotensin-converting enzyme
P08703010A0905|173 193|E-box-binding proteins
P11387950X0001|175 193|tumor necrosis factor
P09617807A0929|175 192|Gypsy-like elements
P09294139A0729|173 186|murine enhancer
P02123029A0478|173 186|mu-like isotype
P08463320A1219|175 186|SSB tetramers
P07877619A1284|174 183|zif268 gene
P03050147A1520|170 177|C protein
P09914500A0000|175 183|TNF)alpha
P11238916A0838|176 183|paxillin
P07616569A0168|172 176|atp9)
P02163382A0169|176 179|lacZ
P10521509A0000|175 178|RGS6
P11069307A0546|174 177|DED1
P10369418A0644|171 174|RelB
P01324385A0329|171 173|CDC
P01842498A0000|175 177|PHA
P08986214A0000|176 178|HGF
P11254504A0766|180 211|caudal-related homeobox (Cdx) gene A
P09799362A1463|174 205|mitochondrial RNA polymerase mutant
P09551182A0212|173 192|retinoic acid receptor
P11207282A0729|172 189|IgH gene transcripts
P08979089A1197|171 186|Ig kappa enhancers
P08643513A0361|178 192|osteocalcin gene
P08837503A0392|171 184|dicot extensins
P09115242A0934|180 192|collagenase-1
P09195923A0125|176 187|immunophilin
P09227799A0254|176 185|precipitin
P09872832A1262|177 185|IFN-gamma
P08776735A0000|175 183|rLHR-t628
P09880029A0703|174 179|MDV-C2
P09714835A0345|177 181|gp180
P07862533A0000|175 179|EGR-1
P09473483A0953|171 175|HIV-I
P01970560A1024|177 180|lacZ
P07592946A0997|170 172|Sp1
P11462004A1500|171 173|Vp1
P11333268A1521|171 173|Ras
P08106369A0000|178 179|V2
P01321280A0494|175 176|E7
P08530345A0880|173 174|HD
P07926775A0895|170 171|hh
P08516324A0000|178 211|carboxyl-terminal DNA-binding domain
P03428274A0000|172 200|nuclear factor I recognition site
P02743981A0347|181 206|ORF monocistronic transcript
P11409425A0000|176 196|apolipoprotein (Apo) E2
P01826043A0431|178 197|protein kinase C family
P08383492A1205|177 193|c-type cytochromes
P10965135A0735|177 191|MAP kinase kinase
P07630687A0010|178 192|antithrombin III
P09504423A0114|174 188|prokaryotic gene
P10861909A0502|174 185|nmt1 promoter
P02233715A0914|169 179|wild-type GR
P09259328A0440|176 185|luciferase
P01436261A0145|181 190|calcitonin
P07537851A0000|178 186|TNF-alpha
P07563090A0124|170 176|pol gene
P02174861A0736|171 176|E. coli
P09585253A1147|173 178|MDA-MB
P07487908A0230|177 180|IEC 6
P07988731A0002|174 178|G-box
P11207261A1421|182 186|SHP-1
P11325944A0511|176 179|uhpT
P08195216A1022|177 180|TRP3
P08530384A0559|176 179|Oct2
P11207308A0999|185 188|JAK1
P08760286A0696|178 180|Ras
P11323411A0505|172 174|Tyr
P09057648A0422|177 179|CAT
P08876167A0717|175 177|CDP
P11292839A0531|172 174|TBP
P08134115A1161|174 174|A
P10318806A0918|182 221|Src homology 2 domain-containing phosphatase
P01714902A0221|176 213|antigen/major histocompatibility complex
P11435605A0587|177 207|Ad5, Ad9, Ad12, and Ad41L fiber knobs
P10938135A0259|176 204|epidermal growth factor receptor
P02868446A0184|174 196|alpha subunit-like enzyme
P07883193A0000|175 198|glutathione S-transferase
P11158337A0000|180 197|activator protein-1
P09556861A1018|176 190|tRNA-synthetase
P02939260A1553|173 183|39K T antigen
P03192537A0370|172 183|human protein
P11160860A0662|181 192|IkappaBalpha
P03619249A0428|169 178|non-A non-B
P08148463A0000|182 190|multi-CSF
P07784079A1018|176 183|basic FGF
P08761480A0331|177 184|met26RD1
P10482620A1009|174 180|MMTV LTR
P08622668A1155|178 185|pre-mRNA
P01536575A1213|174 179|CYPIA1
P10601344A1653|173 177|Cdc42
P11114294A0075|180 183|CFTR
P09736697A1107|176 179|Jak2
P07799925A0526|175 177|SH2
P09211981A0526|179 181|p34
P11278594A0618|179 198|human MIC-1 propeptide
P08707846A2308|183 198|a-factor receptor
P10430883A0000|181 193|class III mucin
P08975713A0454|172 184|p53p2 promoter
P07862092A0302|178 190|pol3-11 sdp5-1
P08093642A0600|175 185|D10S94 locus
P07797077A0842|177 186|ISGF3 gamma
P11314030A1264|176 184|SH3 linker
P10512699T0000|183 191|selC genes
P10413607A0085|180 187|integrin
P07748952A1329|179 184|RNase E
P11357063A0138|181 186|CGbeta
P07518561A0496|177 182|p56lck
P08134115A1161|176 179|TCTA
P09834070A0793|176 179|CD19
P08760889A0531|173 176|H2A2
P09259052A0568|177 180|JunD
P08086450A0467|178 180|Sp1
P01191964A0000|177 179|T-4
P03102289A0786|171 172|E2
P09582953A0000|185 185|X
P11730182A0984|177 177|r
P07689154A0168|180 217|cyclic AMP (cAMP)-dependent protein kinase
P07525843A0859|176 209|H-2d major histocompatibility complex
P10848993A0000|179 207|serine/threonine protein kinase
P02685331A0523|178 203|sigma 54-dependent promoters
P08387507A1015|176 197|dominant-acting factors
P11532856A1175|181 202|c-Jun-N-terminal kinase
P11084334A0590|176 193|heat-shock proteins
P09311810A0814|174 188|alpha0 sequences
P09238860A1974|179 192|protein kinase C
P02138707A0198|176 188|alpha gene X box
P09334330A0252|178 190|mammalian DPC4
P08749393A0783|177 186|SH3 domains
P10597223A0339|181 190|Sp1-family
P01653238A1062|181 189|TGF-beta 1
P09368190A1053|178 186|IFN-alpha
P08808120A0774|178 185|ferritin
P07744763A0514|181 187|CYP2C11
P02308496A0000|174 179|GHM-10
P10779313A1842|182 187|beta(2
P09804779A1163|183 188|Stat5a
P11319098A0164|177 180|LacI
P10564495A0444|176 179|CGM1
P11376007A0584|177 180|PP2A
P02123467A0811|178 180|Sp1
P11449014A0000|183 185|E/B
P02139891A0532|175 177|ATF
P02123820A0000|184 186|FIA
P11238586A0000|182 184|MHC
P11376687A0344|178 180|p26
P07983011A0617|182 217|fibroblast growth factor receptor family
P09335619A0583|174 194|atp9 mitochondrial gene
P10856298A0798|176 190|wild-type enzyme
P09759865A0673|178 192|NF-kappaB-alpha
P01982997A1104|182 191|Jun-B mRNAs
P07704040A0000|184 193|EC 1.6.99.2
P10454561A0594|186 194|NF-kappaB
P07592730A0204|178 183|TSG-14
P10209119A0076|182 186|Sic1p
P10735272A0649|181 185|ANOVA
P08652081A1953|182 185|IL-4
P10521509A0000|180 183|RGS7
P11056007A0224|180 183|rMTM
P10366503A1506|181 184|gp20
P08710371A0000|176 178|p53
P09880544A0693|183 185|BTK
P11292839A0531|176 178|DR2
P10521443A0486|180 182|A32
P11730182A0984|179 179|p
P11323411A0505|176 176|P
P09436706A0168|182 211|gonadotrophin-releasing hormone
P07909936A0672|184 208|colony-stimulating factors
P02536096A0327|181 203|thymidine kinase promoter
P09371698A1254|181 196|SP1-binding sites
P09211981A0526|183 193|cdc2(kinase
P08524267A1022|181 190|myc mutants
P11254713A1029|180 187|IL-2 gene
P10652362A0933|181 188|clathrin
P02820128A1670|174 180|insulin
P11335116A1099|183 188|BmHR3A
P09307065A0553|177 182|sec(-1
P09211913A0000|183 188|CYP1A1
P09151837A0723|189 193|Rep78
P09287352A0930|184 186|MEK
P07563076A0766|179 181|bi4
P09582953A0000|187 189|F.X
P08584035A0740|179 180|R1
P07509449A0000|179 179|3
P08598449A0784|178 212|vav- and ras-GTPase-activating protein
P08127950A0000|184 208|thyroid stimulating hormone
P09467900A0701|179 198|Ca(2+)-binding domain
P01538403A1058|184 202|H5 promoter mutations
P11108151A0560|181 195|fibronectin mRNA
P11102458A0000|181 194|protein kinase A
P02597549A0964|178 191|thromboplastin
P08605302A1770|173 184|CatA promoter
P02689439A0402|177 186|rat Yb2 gene
P06121577A0280|174 184|plasma renin
P10972990A0526|182 191|HPRT) locus
P01326329A0703|175 184|Ap-2) sites
P10543727A0282|182 191|kappaB site
P10342536A0954|183 188|casein
P09335298A1227|178 183|parCBA
P02179815A0582|180 183|p68c
P10683244A0939|177 180|NBF2
P10567430A0785|183 186|GRK5
P10212278A0387|188 191|MAPK
P11207308A0999|190 193|JAK2
P07588633A0362|182 184|Mos
P10597317A1156|179 181|JNK
P11593394A0000|181 183|p15
P11333268A1521|176 178|Sos
P09723896A0000|190 192|RXR
P09584194A1305|178 180|p55
P11297545A0948|182 184|hGH
P11020375A0134|172 173|AF
P08460918A0252|184 211|gamma-glutamyltranspeptidase
P10440923A0684|179 201|cyclin A-dependent kinase
P10732669A0510|186 203|HD-Zip binding sites
P09335298A2129|181 196|ParE toxin protein
P08986214A0000|183 199|alpha-fetoprotein
P02144610A1306|174 187|T alpha 1 element
P08676858A0309|180 192|T2-type RNases
P09049270A0488|179 187|type II MTs
P09010223A1850|179 186|Egr1 gene
P07969132A0268|183 190|gcn2-507
P08972182A0527|184 191|YVAD-CMK
P10376877A0611|180 186|18S rRNA
P10506143A0610|183 187|MEKK1
P07784199A0000|181 185|Abf1p
P03263357A0112|183 186|IL-1
P09030781A0734|183 186|cdk4
P02022188A0112|182 185|HMGs
P02139891A0532|179 182|CREB
P08643578A0000|185 188|FUS1
P08086450A0467|182 185|AP-2
P09369451A0693|183 186|OP-1
P09765411A0991|180 183|S27a
P07528772A0616|185 187|SH2
P08125949A1162|180 182|L12
P10747053A1102|181 183|SBF
P09575143A1189|184 186|TCR
P10694210A0385|181 183|H1R
P08388543A1263|181 183|Ras
P08134115A1161|181 182|TA
P10965905A1618|184 185|GH
P09765261A0000|187 212|viral Tax-responsive element
P01713213A0000|183 203|protein tyrosine kinase
P07935383A0108|178 198|adenovirus L3 pre-mRNAs
P07628456A0000|179 199|dsRNA-dependent kinase
P09804836A0000|186 193|anti-Tyr
P08114745A0953|182 187|pol III
P08798420A0207|181 184|pp60
P11278583A0873|186 189|Grb2
P11319098A0164|182 185|GalR
P09388198A1396|180 183|rhoB
P08876167A0717|181 184|p107
P10498616A0157|183 186|IL-4
P09259052A0568|182 185|JunB
P01285009A0000|187 189|cBA
P07537851A0891|185 187|p50
P08760286A0696|184 186|Rho
P10704499A0682|183 185|PKC
P07509449A0000|181 183|SH2
P11139605A0811|186 188|Sp1
P10521443A0486|184 185|36
P08496601A1153|181 202|muMIP-1 alpha 5' promoter
P02686749A0000|182 202|retinol binding protein
P11145743A0170|183 201|deiodinase promoters
P08254738A0428|181 197|wild-type T antigen
P08475104A0341|179 194|p33cdk2 complexes
P01518849A0165|188 202|elastin peptides
P09680994A0169|182 193|Z. mays r genes
P11036938A1162|180 192|gonadotropins
P07959760A0763|179 187|ets family
P08649841A0956|183 189|CAT mRNA
P10367646A0569|184 190|albumin
P10671519A0641|184 189|emerin
P09473483A0953|179 184|HTLV-1
P09581834A2578|185 189|CDKIs
P01735721A0185|181 184|tyrZ
P08647086A0720|182 185|Cdk2
P10918572A1547|187 190|ErbB
P10805738A0799|182 185|Gal4
P03714348A0833|182 184|IgG
P11410664A0963|181 183|BER
P09099702A0692|178 180|RTR
P10559364A0846|185 187|SSB
P09418905A1396|186 188|PKC
P03335651A0000|185 186|T1
P11408604A1440|183 204|receptor tyrosine kinase
P09111340A0240|183 202|human beta-globin gene
P03119227A0079|182 195|tyrosine kinase
P01721884A0962|180 191|E. coli RNase H
P07474124A1360|184 196|F glycoprotein
P08995652A0812|181 193|UL80.5 protein
P07623844A0639|184 195|wild-type p53
P01646157A0414|187 196|alpha-Gal A
P09786932A1042|183 190|IFNA gene
P10414451A0093|186 193|protein C
P10702285A0855|190 196|insulin
P09725854A1060|184 189|orf107
P09398332A0732|184 189|CTLA-4
P08813766A0605|177 181|Cre-A
P01779433A0694|180 183|Alu 3
P11207261A1421|190 194|SHP-2
P11593394A0000|185 189|Ink4b
P06407348A0516|185 189|beta2
P09209372A0345|186 190|AML1b
P09705324A1602|179 183|OCT-1
P10564495A0444|182 186|CD66d
P07910946A0323|188 191|IL-2
P10521509A0000|185 188|RGS9
P09584194A1305|182 185|HEF1
P09863624A0629|182 185|CRF1
P11007954A0170|184 186|Sos
P02038326A0538|183 185|43S
P10542269A0000|185 187|APP
P08134115A1161|184 185|TT
P09880029A0703|183 184|C3
P09519830A0282|187 230|chloramphenicol acetyltransferase reporter gene
P08686381A0527|189 218|transcription regulatory protein
P07537267A2094|183 204|fetal gamma-globin genes
P07592946A0997|180 199|GC-rich binding factor
P08125949A1162|184 202|chloroplast ribosome
P03332022A1094|182 197|N-terminal region
P03016506A0611|187 201|BamHI-C fragment
P08967963A1735|181 194|alpha2c-AR gene
P07483285A0322|184 196|E7 gene product
P02061333A1359|189 201|ACV tripeptide
P07616569A0168|183 195|ribosomal RNAs
P02997777A0609|186 197|top2 ts mutant
P09062130A0116|184 195|PTPase domain
P09084174A0667|192 202|Asd proteins
P01387105A0933|186 194|Cycb1-rs9
P08253386A0800|183 189|U2 snRNP
P08231816A1473|187 193|IPNS tsp
P10021350A0093|191 198|Wingless
P02123467A0811|184 188|MyoD1
P11000521A0588|191 195|IRS-2
P07516466A1054|184 187|CREB
P11238916A0838|187 190|Pyk2
P02179815A0582|185 187|rel
P11373277A0812|188 190|E1A
P02845654A0510|183 184|P1
P09716179A0974|190 191|RB
P08584035A0740|183 184|R4
P01917943A0621b|185 216|chloramphenicol acetyltransferase
P01917943A0621a|185 216|chloramphenicol acetyltransferase
P08798443A0660|183 209|mim-1A Myb-responsive element
P09197408A0126|185 205|C-terminal acidic alpha
P10721704X0000|185 203|RNA-binding proteins
P07796935A0284|187 205|T3-response elements
P01454518A0336|186 199|human ERCC3 cDNA
P08835969A0000|189 199|beta subunit
P09556573A1062|191 202|co-repressor
P11241215A0566|188 199|enterokinase
P09030781A0734|188 195|cyclin D1
P08624445A0257|182 189|Waxy gene
P09795213A0129|184 191|hTAFII68
P10498616A1280|188 193|p21 Ras
P07890599A0132|180 186|munc-18
P08615025A1214|187 191|gp160
P10400757A1498|184 188|HIV-1
P09652737A1244|185 188|AP-1
P11207308A0999|195 198|JAK3
P06327039A0743|187 190|CD25
P08861955A0927|183 185|Ran
P09305944A0621|185 187|Ran
P11076860A0872|188 190|Kua
P01413984A0737|190 215|tissue plasminogen activator
P08396713A0305|188 209|90-kDa heat shock protein
P08334989A0070|184 205|luciferase reporter gene
P11314030A1264|186 204|C-terminal SH3 domain
P01754381A0000|188 205|DNA polymerase alpha
P01313846A0850|187 204|poliovirus receptor
P01985924A0554|188 200|pol II delta 4/7
P07702752A0545|187 200|rat P450c17 gene
P08627649A0734|182 190|Sp1 family
P07518578A0000|189 197|pp60v-src
P06184487A1485|182 190|HindIII-A
P09566871A0343|186 192|Ty1 cDNA
P08208540A0417|184 190|ankyrin
P08036004A0292|185 190|class I
P08276865A1188|189 194|p21ras
P07510635A0479|190 194|Pol II
P08798420A0207|186 191|v-)src
P10366503A1506|188 191|gp17
P08643578A0000|191 194|lacZ
P08636031A1413|185 187|Fur
P07453919A0000|195 197|IgM
P01581965A0388|182 184|GAP
P02877124A0000|187 188|H1
P03335651A0000|188 189|T2
P01547957A1083|185 208|CYP3-specific DNA fragment
P03507689A0000|191 212|beta-galactosidase gene
P07547510A0261|185 204|a cell-specific factor
P08144852A0000|189 207|11-beta-hydroxylase
P08468475A1280|190 203|F42A-IL-2R beta
P08207405A0372|188 197|HSP70 genes
P01716292A0000|186 192|DR alpha
P08647086A0720|187 194|cyclin-A
P10570996A1213|183 189|insulin
P11410664A0963|185 189|hOGG1
P03619249A0428|180 184|non-A
P08183915A0000|181 184|p105
P10805738A0799|187 190|MyoD
P10567430A0785|189 192|GRK6
P10559364A0846|189 192|UL57
